t,latitude,longitude,altitude
96.0,47.9650441835521,-81.84247370974731,8463.974224093334
97.0,47.96508930868832,-81.84250583336997,8418.833962396664
98.0,47.96511725194883,-81.8425794450309,8419.81004313997
99.0,47.96520702297429,-81.84285245614353,8385.350081083523
100.0,47.965205371751665,-81.84272986954312,8353.83616484789
101.0,47.96507897827152,-81.84317217830636,8301.60233758449
102.0,47.965122113874635,-81.84306504776683,8272.167016461823
103.0,47.96514599689504,-81.84299929602135,8257.978368729757
104.0,47.96514521194214,-81.84281886247139,8187.7159241848385
105.0,47.96524427105659,-81.8428993282465,8160.036911155873
106.0,47.965254781028285,-81.84282424332821,8114.987643670304
107.0,47.96534174336583,-81.84291186038467,8062.2323537990715
108.0,47.96532040321765,-81.84301487826141,8060.02462059913
109.0,47.96522629412881,-81.84336104000448,8012.819891444165
110.0,47.96510341926844,-81.84316199364967,7941.009210045616
111.0,47.965236012539215,-81.84340598482225,7947.662816933044
112.0,47.965210142224194,-81.84313619900477,7901.528316247905
113.0,47.965177766161155,-81.843319327019,7834.624465818265
114.0,47.96504654008463,-81.8435527898651,7853.645127409864
115.0,47.96541715259888,-81.84341533498171,7838.725195034673
116.0,47.96530017575644,-81.84347301277032,7766.700812302644
117.0,47.9651963279056,-81.84351620103308,7762.294884497493
118.0,47.96534832464394,-81.84351357895335,7714.629712353954
119.0,47.96531319813366,-81.84359843947027,7671.038509249742
120.0,47.965291753047644,-81.84358113927802,7637.702593374024
121.0,47.96545689249613,-81.84355919673573,7592.2102636582495
122.0,47.96523499106979,-81.84340084675561,7570.197582230298
123.0,47.965326171984046,-81.84366853201581,7549.219996142643
124.0,47.96542835969296,-81.84348265673691,7473.264286362172
125.0,47.96516837319476,-81.84382812152482,7475.207370850775
126.0,47.965367264159894,-81.8438724004441,7416.188367903685
127.0,47.96540069238279,-81.84384530920111,7365.041866797471
128.0,47.96541703361314,-81.84370626174413,7372.529141724757
129.0,47.96538043954551,-81.84404509174576,7336.699474796022
130.0,47.96553395572884,-81.84402397142183,7279.529644051046
131.0,47.9654217307744,-81.8438555181948,7263.337094043221
132.0,47.965336914155564,-81.84424322060497,7195.111688277118
133.0,47.965390220475406,-81.84425574011178,7191.516427263577
134.0,47.9651398346086,-81.84410526112455,7153.988384691699
135.0,47.965333557249394,-81.84458800086252,7106.626165723374
136.0,47.96528245126282,-81.84411319441259,7130.764525650778
137.0,47.96519290215699,-81.84431032812107,7088.714250303843
138.0,47.96534721450504,-81.84430959801469,7053.392045468871
139.0,47.96546707627324,-81.84453938115291,7011.187746927238
140.0,47.96547923694006,-81.84465255971855,6959.665504720305
141.0,47.96538695353269,-81.84436580430345,6914.628765598514
142.0,47.96514482770597,-81.84465643846434,6895.725502485906
143.0,47.965601777434216,-81.84450407083986,6853.958856133269
144.0,47.965563473896914,-81.84466575626321,6839.492577529275
145.0,47.96547511844042,-81.84440289243115,6773.745884930127
146.0,47.96566926897634,-81.84434275245236,6741.203289550123
147.0,47.96568360514224,-81.84464388051717,6706.446095114732
148.0,47.96565383335989,-81.8448680141447,6707.798193779284
149.0,47.965501958159955,-81.84474618293939,6676.483541167971
150.0,47.965652393233356,-81.8447633250443,6643.803439574367
151.0,47.96571570197184,-81.84471943818444,6602.036428558181
152.0,47.965435888216696,-81.84465466524227,6566.67496921985
153.0,47.96572847514019,-81.84482260993464,6540.032980229361
154.0,47.96569315358908,-81.84478783275559,6511.576866119563
155.0,47.96558573568139,-81.84482568317195,6482.643552373881
156.0,47.96550256926616,-81.8450359822016,6448.041201747259
157.0,47.965591071154265,-81.84519196529264,6383.200331222227
158.0,47.965613502167756,-81.84519732322794,6349.058318231738
159.0,47.96550108333798,-81.8451881498264,6346.89698196703
160.0,47.96571261254464,-81.84508125076944,6283.9654356639485
161.0,47.965628747139,-81.84526349917536,6265.040270785856
162.0,47.96552005811654,-81.84510418781916,6239.2063861548395
163.0,47.96568818695893,-81.8450678553271,6231.998853356611
164.0,47.96575291226203,-81.84549494385266,6136.148507773707
165.0,47.965913831504494,-81.84526377499124,6139.8317877804475
